usage_id,customer_id,usage_date,data_used_gb,call_minutes,network_type,High/Normal  Usage
10065,158,02-11-2022,2.66,138,5G,Normal Usage
10066,121,26-09-2023,0.83,60,4G,Normal Usage
10067,55,08-05-2022,0,293,5G,Normal Usage
10068,400,17-09-2023,0.34,32,4G,Normal Usage
10069,12,30-09-2022,6.78,298,5G,Normal Usage
10070,145,27-04-2024,5.05,111,4G,Normal Usage
10071,400,18-03-2023,0.67,290,5G,Normal Usage
10072,396,18-05-2023,3.77,36,4G,Normal Usage
10073,136,10-05-2022,2.34,99,4G,Normal Usage
10074,468,12-05-2022,8.84,22,4G,Normal Usage
10075,3,20-08-2023,1.17,217,4G,Normal Usage
10076,144,27-04-2023,2.86,88,5G,Normal Usage
10077,30,11-05-2024,0.16,208,4G,Normal Usage
10078,237,25-01-2023,1.26,270,4G,Normal Usage
10079,279,16-08-2023,8.3,236,4G,Normal Usage
10080,348,21-11-2022,1.94,208,4G,Normal Usage
10081,115,10-03-2022,0.85,277,5G,Normal Usage
10082,104,22-10-2023,0.32,205,4G,Normal Usage
10083,118,24-03-2023,3.04,77,4G,Normal Usage
10084,5,12-06-2023,2.59,97,5G,Normal Usage
10085,468,29-03-2024,1.17,93,5G,Normal Usage
10086,360,09-09-2023,7.54,79,4G,Normal Usage
10087,248,14-06-2022,0.06,37,4G,Normal Usage
10088,364,03-05-2023,0.91,227,5G,Normal Usage
10089,321,14-12-2023,6.35,133,5G,Normal Usage
10090,121,10-12-2023,0.97,195,5G,Normal Usage
10091,286,02-03-2023,0.73,281,5G,Normal Usage
10092,149,28-11-2023,1.91,100,5G,Normal Usage
10093,84,13-04-2024,4.34,74,5G,Normal Usage
10094,454,22-09-2022,0.27,293,5G,Normal Usage
10095,406,24-05-2024,7.16,207,4G,Normal Usage
10096,466,04-09-2023,3.96,82,4G,Normal Usage
10097,456,08-12-2022,0.5,142,4G,Normal Usage
10098,231,11-04-2024,3.11,55,4G,Normal Usage
10099,288,27-12-2023,1.22,286,5G,Normal Usage
10100,161,05-10-2022,1.29,210,5G,Normal Usage
10101,272,05-11-2023,3.82,178,5G,Normal Usage
10102,460,15-03-2023,8.23,57,5G,Normal Usage
10103,38,06-06-2022,0.34,72,4G,Normal Usage
10104,500,26-02-2023,1.36,214,5G,Normal Usage
10105,226,08-09-2022,1.64,265,4G,Normal Usage
10106,142,27-05-2024,1.18,72,4G,Normal Usage
10107,292,01-09-2023,1.13,270,4G,Normal Usage
10108,481,14-06-2023,0.13,233,5G,Normal Usage
10109,151,23-11-2022,2.89,18,4G,Normal Usage
10110,114,13-06-2024,1.43,112,5G,Normal Usage
10111,237,07-04-2022,0.54,62,4G,Normal Usage
10112,66,28-05-2023,4.23,183,4G,Normal Usage
10113,361,04-08-2022,4.06,276,4G,Normal Usage
10114,341,12-05-2022,1.67,161,4G,Normal Usage
10115,258,17-09-2022,0.89,242,5G,Normal Usage
10116,475,05-05-2022,2.54,144,4G,Normal Usage
10117,249,23-03-2022,0.85,145,5G,Normal Usage
10118,457,10-10-2022,0.67,80,5G,Normal Usage
10119,449,14-11-2023,3.28,42,5G,Normal Usage
10120,331,28-02-2022,0.1,292,4G,Normal Usage
10121,323,28-06-2023,0.25,175,5G,Normal Usage
10122,180,10-06-2022,0.02,68,4G,Normal Usage
10123,190,11-10-2022,0.41,55,4G,Normal Usage
10124,407,16-04-2022,0.18,118,4G,Normal Usage
10125,154,15-04-2022,13.68,203,5G,High Usage
10126,196,15-03-2023,0.85,54,4G,Normal Usage
10127,466,16-08-2022,0.4,37,4G,Normal Usage
10128,311,01-12-2023,0.69,242,4G,Normal Usage
10129,262,05-08-2023,6.88,200,4G,Normal Usage
10130,419,14-11-2022,1.84,235,4G,Normal Usage
10131,406,09-04-2023,1.13,14,5G,Normal Usage
10132,427,12-03-2024,5.17,143,4G,Normal Usage
10133,143,22-08-2023,1.26,76,5G,Normal Usage
10134,342,31-05-2024,1.02,262,4G,Normal Usage
10135,316,23-05-2024,0.58,184,5G,Normal Usage
10136,101,17-04-2023,1.19,54,4G,Normal Usage
10137,244,25-02-2022,0.95,3,4G,Normal Usage
10138,490,17-09-2023,2.83,298,4G,Normal Usage
10139,12,13-01-2022,0.85,39,4G,Normal Usage
10140,239,16-03-2023,2.15,229,5G,Normal Usage
10141,49,18-01-2022,0.17,285,4G,Normal Usage
10142,42,25-11-2023,0.53,137,5G,Normal Usage
10143,166,23-04-2022,1.31,102,5G,Normal Usage
10144,82,17-08-2022,6.91,6,4G,Normal Usage
10145,429,20-06-2022,1.18,163,4G,Normal Usage
10146,291,22-10-2022,2.73,275,4G,Normal Usage
10147,158,08-07-2022,0.74,48,4G,Normal Usage
10148,216,02-03-2023,0.34,95,4G,Normal Usage
10149,490,20-03-2022,0.15,58,5G,Normal Usage
10150,158,20-10-2023,0.91,230,4G,Normal Usage
10151,462,01-07-2022,0.43,176,4G,Normal Usage
10152,134,14-05-2023,0.48,89,4G,Normal Usage
10153,67,08-03-2024,3.58,281,4G,Normal Usage
10154,336,01-02-2024,0.04,35,5G,Normal Usage
10155,7,15-05-2024,2.04,170,5G,Normal Usage
10156,436,05-04-2024,1.19,125,5G,Normal Usage
10157,14,09-12-2023,1.77,298,5G,Normal Usage
10158,73,14-04-2024,2.07,203,4G,Normal Usage
10159,399,12-03-2022,0.94,288,4G,Normal Usage
10160,405,05-09-2022,0.87,96,4G,Normal Usage
10161,163,26-05-2022,3.31,237,5G,Normal Usage
10162,66,10-09-2023,5.13,172,5G,Normal Usage
10163,347,14-02-2024,0.53,87,4G,Normal Usage
10164,130,23-10-2022,0.26,16,4G,Normal Usage
10165,419,05-08-2023,5.7,139,4G,Normal Usage
10166,466,15-04-2023,1.08,253,5G,Normal Usage
10167,206,21-05-2023,2,277,4G,Normal Usage
10168,276,12-07-2022,1.11,150,5G,Normal Usage
10169,466,09-03-2022,0.34,139,4G,Normal Usage
10170,256,09-05-2023,2.22,113,4G,Normal Usage
10171,266,27-03-2024,1.86,67,5G,Normal Usage
10172,25,21-02-2022,0.57,178,4G,Normal Usage
10173,450,31-05-2024,1.5,124,5G,Normal Usage
10174,281,29-12-2022,3.99,232,5G,Normal Usage
10175,253,07-03-2024,2.23,146,4G,Normal Usage
10176,310,19-04-2023,0.25,110,5G,Normal Usage
10177,289,25-04-2024,1.99,237,4G,Normal Usage
10178,164,05-06-2023,3.03,2,4G,Normal Usage
10179,95,02-02-2024,3.93,210,5G,Normal Usage
10180,270,07-03-2023,2.48,24,4G,Normal Usage
10181,321,23-04-2024,0.41,183,4G,Normal Usage
10182,110,25-10-2022,3.1,60,5G,Normal Usage
10183,336,11-03-2023,2.83,122,4G,Normal Usage
10184,310,27-11-2023,0.06,54,5G,Normal Usage
10185,238,22-11-2023,1.33,162,5G,Normal Usage
10186,381,17-07-2022,1.01,186,4G,Normal Usage
10187,436,08-05-2022,2.77,38,4G,Normal Usage
10188,387,16-06-2023,0.61,184,4G,Normal Usage
10189,483,15-02-2023,2.23,82,4G,Normal Usage
10190,425,19-04-2024,6.11,194,5G,Normal Usage
10191,390,06-03-2022,4,33,5G,Normal Usage
10192,25,25-11-2023,6.36,112,4G,Normal Usage
10193,141,29-08-2022,9.6,229,4G,Normal Usage
10194,117,04-01-2023,0.03,282,5G,Normal Usage
10195,482,20-06-2023,2.44,286,4G,Normal Usage
10196,392,19-01-2023,1.33,154,5G,Normal Usage
10197,405,07-03-2023,4.91,164,5G,Normal Usage
10198,482,24-03-2022,0.73,181,4G,Normal Usage
10199,452,10-04-2024,9.91,238,4G,Normal Usage
10200,25,28-11-2023,2.38,136,5G,Normal Usage
10201,79,07-04-2024,3.94,265,4G,Normal Usage
10202,68,03-09-2023,0.22,186,4G,Normal Usage
10203,173,28-07-2023,0.51,39,5G,Normal Usage
10204,444,13-10-2022,3.55,166,5G,Normal Usage
10205,12,18-06-2023,0.06,259,4G,Normal Usage
10206,288,04-04-2023,4.24,142,4G,Normal Usage
10207,128,31-07-2022,0.04,203,4G,Normal Usage
10208,96,06-05-2022,2.68,175,4G,Normal Usage
10209,92,17-02-2023,1.14,261,4G,Normal Usage
10210,141,14-05-2023,2.36,251,4G,Normal Usage
10211,31,01-03-2023,2.98,199,4G,Normal Usage
10212,334,08-07-2023,1.05,198,4G,Normal Usage
10213,20,02-09-2023,0.29,195,4G,Normal Usage
10214,146,27-06-2023,0.18,76,4G,Normal Usage
10215,477,07-06-2022,2.22,18,4G,Normal Usage
10216,316,22-04-2022,1.84,61,4G,Normal Usage
10217,447,06-02-2023,3.39,280,5G,Normal Usage
10218,390,29-01-2024,1.78,249,4G,Normal Usage
10219,160,02-05-2022,1.37,226,4G,Normal Usage
10220,349,30-09-2022,1.27,126,5G,Normal Usage
10221,43,21-10-2022,0.07,57,4G,Normal Usage
10222,254,02-02-2023,1.02,203,5G,Normal Usage
10223,130,16-04-2023,9.33,242,4G,Normal Usage
10224,60,26-07-2022,5.17,251,4G,Normal Usage
10225,151,20-04-2022,1,198,4G,Normal Usage
10226,467,16-03-2023,2.22,239,4G,Normal Usage
10227,287,05-10-2022,4.7,138,4G,Normal Usage
10228,499,22-07-2023,1.46,121,4G,Normal Usage
10229,5,05-06-2024,0.05,48,4G,Normal Usage
10230,467,23-07-2023,0.19,114,5G,Normal Usage
10231,418,27-04-2023,1.79,250,4G,Normal Usage
10232,266,13-03-2024,8.72,6,4G,Normal Usage
10233,345,24-04-2022,2.95,218,4G,Normal Usage
10234,130,11-06-2024,0.18,76,4G,Normal Usage
10235,382,15-06-2024,0.52,178,5G,Normal Usage
10236,267,30-03-2024,3.69,144,4G,Normal Usage
10237,178,02-05-2024,4.6,153,4G,Normal Usage
10238,253,22-04-2023,2.4,120,5G,Normal Usage
10239,415,11-12-2023,2.59,123,5G,Normal Usage
10240,56,17-11-2022,0.07,149,4G,Normal Usage
10241,463,28-06-2022,4.41,267,4G,Normal Usage
10242,457,15-06-2024,3.88,0,4G,Normal Usage
10243,471,07-08-2022,0.75,160,4G,Normal Usage
10244,83,28-02-2024,3.08,243,4G,Normal Usage
10245,393,12-06-2023,0.6,250,4G,Normal Usage
10246,99,07-05-2023,0.1,63,5G,Normal Usage
10247,149,09-06-2024,0.56,298,4G,Normal Usage
10248,329,02-03-2022,0.49,247,4G,Normal Usage
10249,156,23-02-2022,1.03,296,4G,Normal Usage
10250,190,11-11-2023,1.36,114,4G,Normal Usage
10251,494,22-06-2023,1.78,294,4G,Normal Usage
10252,371,27-04-2024,1.62,0,4G,Normal Usage
10253,263,06-03-2022,0.79,40,4G,Normal Usage
10254,80,04-09-2023,0.07,172,4G,Normal Usage
10255,400,09-08-2023,2.32,87,4G,Normal Usage
10256,252,05-12-2023,1.26,97,4G,Normal Usage
10257,97,20-06-2022,0.89,87,4G,Normal Usage
10258,260,30-09-2022,5.04,250,4G,Normal Usage
10259,260,07-06-2024,3.43,140,4G,Normal Usage
10260,103,30-11-2023,4.88,70,4G,Normal Usage
10261,40,19-06-2023,1.71,136,5G,Normal Usage
10262,273,26-01-2023,0.35,98,5G,Normal Usage
10263,101,24-11-2023,2.98,150,4G,Normal Usage
10264,359,23-11-2022,0.58,174,5G,Normal Usage
10265,380,18-04-2022,1.46,166,4G,Normal Usage
10266,308,26-04-2024,0.17,256,5G,Normal Usage
10267,221,11-06-2022,4.36,223,4G,Normal Usage
10268,308,24-03-2024,0.34,64,4G,Normal Usage
10269,420,28-03-2023,5.84,68,4G,Normal Usage
10270,124,25-07-2022,4.99,66,4G,Normal Usage
10271,422,13-08-2023,1.56,49,5G,Normal Usage
10272,231,16-01-2022,3.41,90,4G,Normal Usage
10273,178,23-11-2022,2.42,114,4G,Normal Usage
10274,63,31-08-2023,4.06,56,4G,Normal Usage
10275,485,21-10-2023,1.41,17,4G,Normal Usage
10276,116,02-01-2022,3.85,271,4G,Normal Usage
10277,191,10-01-2022,1.55,129,4G,Normal Usage
10278,62,10-03-2023,7.07,268,4G,Normal Usage
10279,256,05-05-2022,1.67,79,5G,Normal Usage
10280,483,22-03-2022,1.55,298,4G,Normal Usage
10281,7,30-04-2023,3.84,201,4G,Normal Usage
10282,155,14-10-2023,4.31,224,4G,Normal Usage
10283,92,17-04-2024,2.02,158,5G,Normal Usage
10284,470,30-05-2022,0.5,203,4G,Normal Usage
10285,14,10-03-2024,1.58,136,4G,Normal Usage
10286,455,22-05-2024,8.61,72,5G,Normal Usage
10287,229,06-12-2022,3.5,47,4G,Normal Usage
10288,86,09-05-2022,4.17,17,4G,Normal Usage
10289,133,14-03-2023,0.08,266,4G,Normal Usage
10290,183,21-01-2024,1.58,18,5G,Normal Usage
10291,386,16-05-2023,2.6,99,5G,Normal Usage
10292,62,27-02-2022,4.43,115,5G,Normal Usage
10293,219,17-07-2022,0.13,73,4G,Normal Usage
10294,405,30-07-2022,4.78,279,4G,Normal Usage
10295,246,14-02-2022,1.99,268,4G,Normal Usage
10296,230,07-04-2022,0.55,124,5G,Normal Usage
10297,79,06-10-2022,0.95,115,5G,Normal Usage
10298,149,19-06-2023,0.83,173,4G,Normal Usage
10299,138,14-02-2023,1.89,180,4G,Normal Usage
10300,471,06-04-2023,0.13,225,4G,Normal Usage
10301,314,26-01-2023,0.43,156,4G,Normal Usage
10302,376,26-04-2024,4.19,163,4G,Normal Usage
10303,423,13-02-2022,0.36,70,4G,Normal Usage
10304,389,27-01-2022,0.66,221,4G,Normal Usage
10305,65,04-03-2024,1.51,125,4G,Normal Usage
10306,13,07-04-2022,1.82,144,5G,Normal Usage
10307,213,02-07-2023,3.61,175,5G,Normal Usage
10308,474,13-09-2023,1.48,151,5G,Normal Usage
10309,242,21-07-2023,3.9,181,5G,Normal Usage
10310,493,05-12-2023,2.41,84,4G,Normal Usage
10311,213,07-08-2022,0.3,120,4G,Normal Usage
10312,181,04-07-2022,0.42,128,5G,Normal Usage
10313,338,10-03-2022,1.44,5,4G,Normal Usage
10314,485,08-04-2024,1.26,182,4G,Normal Usage
10315,173,10-05-2022,3.4,37,4G,Normal Usage
10316,160,21-07-2023,2.17,115,5G,Normal Usage
10317,164,08-06-2024,1.23,101,4G,Normal Usage
10318,465,01-09-2023,0.47,7,4G,Normal Usage
10319,483,27-04-2024,0.64,217,4G,Normal Usage
10320,497,22-08-2023,2.14,206,5G,Normal Usage
10321,188,16-03-2024,1.38,77,4G,Normal Usage
10322,395,23-09-2023,1.81,54,4G,Normal Usage
10323,191,21-12-2023,0.47,227,4G,Normal Usage
10324,405,30-11-2022,2.72,87,5G,Normal Usage
10325,308,03-06-2022,4.79,9,5G,Normal Usage
10326,256,01-07-2023,0.75,289,4G,Normal Usage
10327,183,20-03-2022,1.69,163,4G,Normal Usage
10328,117,02-08-2023,9.28,238,5G,Normal Usage
10329,282,04-05-2024,1.01,143,4G,Normal Usage
10330,196,17-02-2023,2.26,17,5G,Normal Usage
10331,34,30-06-2023,0.24,70,4G,Normal Usage
10332,52,01-09-2023,2.33,174,4G,Normal Usage
10333,112,18-06-2022,0.23,287,5G,Normal Usage
10334,252,12-11-2023,8,298,4G,Normal Usage
10335,82,25-10-2023,3.14,247,4G,Normal Usage
10336,232,06-08-2023,3.88,192,4G,Normal Usage
10337,227,30-05-2023,3.04,267,5G,Normal Usage
10338,233,10-11-2022,2.23,203,4G,Normal Usage
10339,221,01-02-2022,1.49,122,4G,Normal Usage
10340,436,14-10-2022,4.89,57,5G,Normal Usage
10341,413,17-08-2023,7.86,200,4G,Normal Usage
10342,422,12-02-2022,1.73,111,4G,Normal Usage
10343,42,09-09-2023,6.7,127,4G,Normal Usage
10344,21,01-01-2022,2.19,35,5G,Normal Usage
10345,42,27-07-2023,1.93,233,4G,Normal Usage
10346,397,27-09-2022,1.52,46,4G,Normal Usage
10347,113,29-06-2022,0.59,114,4G,Normal Usage
10348,105,06-01-2024,0.01,254,5G,Normal Usage
10349,192,02-06-2023,0.69,222,5G,Normal Usage
10350,17,13-04-2022,1.78,123,4G,Normal Usage
10351,120,10-01-2022,1.19,159,4G,Normal Usage
10352,393,06-08-2023,1.49,95,5G,Normal Usage
10353,425,31-03-2022,9.86,106,4G,Normal Usage
10354,129,14-08-2022,1.08,119,5G,Normal Usage
10355,130,01-11-2023,1.5,100,4G,Normal Usage
10356,60,10-01-2024,0.36,102,4G,Normal Usage
10357,48,06-05-2022,0.12,165,4G,Normal Usage
10358,29,28-07-2022,3.73,185,5G,Normal Usage
10359,97,07-04-2022,2.11,31,4G,Normal Usage
10360,10,15-03-2022,3.58,65,4G,Normal Usage
10361,242,19-09-2023,0.41,178,4G,Normal Usage
10362,314,10-07-2022,2.12,266,4G,Normal Usage
10363,444,13-11-2023,0.73,36,4G,Normal Usage
10364,232,29-03-2024,0.65,200,4G,Normal Usage
10365,277,17-12-2023,0.03,48,5G,Normal Usage
10366,284,25-02-2022,0.35,274,4G,Normal Usage
10367,203,21-12-2023,0.93,167,5G,Normal Usage
10368,247,07-07-2023,0.31,262,4G,Normal Usage
10369,290,01-02-2022,10.65,132,4G,High Usage
10370,264,11-06-2023,0.92,297,4G,Normal Usage
10371,443,28-07-2023,0.35,175,5G,Normal Usage
10372,214,29-10-2023,0.55,10,5G,Normal Usage
10373,200,11-10-2022,2.22,200,4G,Normal Usage
10374,433,22-12-2023,0.17,296,5G,Normal Usage
10375,79,11-04-2024,4.96,2,4G,Normal Usage
10376,401,09-05-2023,8.14,213,4G,Normal Usage
10377,444,06-07-2022,0.71,295,4G,Normal Usage
10378,343,13-05-2023,1.5,31,4G,Normal Usage
10379,344,18-03-2023,0.06,47,4G,Normal Usage
10380,173,10-05-2022,2.56,251,5G,Normal Usage
10381,467,01-10-2023,1.34,198,4G,Normal Usage
10382,69,19-10-2022,0.79,88,5G,Normal Usage
10383,416,24-04-2022,0.58,108,4G,Normal Usage
10384,428,18-07-2022,2.65,290,4G,Normal Usage
10385,449,13-01-2022,1.35,107,5G,Normal Usage
10386,87,28-09-2022,0.5,39,5G,Normal Usage
10387,101,24-08-2023,2.92,51,5G,Normal Usage
10388,8,03-08-2022,2.08,111,4G,Normal Usage
10389,333,20-03-2023,4.89,294,5G,Normal Usage
10390,200,29-02-2024,0.31,67,5G,Normal Usage
10391,87,27-05-2023,3.85,188,4G,Normal Usage
10392,43,23-03-2023,2.8,208,4G,Normal Usage
10393,385,16-12-2023,0.31,64,4G,Normal Usage
10394,109,15-03-2022,2.97,61,4G,Normal Usage
10395,435,21-06-2023,1.46,257,4G,Normal Usage
10396,408,11-04-2022,7.25,133,5G,Normal Usage
10397,483,25-06-2022,0.38,121,4G,Normal Usage
10398,152,03-03-2023,2.57,170,5G,Normal Usage
10399,17,27-04-2022,1.2,209,4G,Normal Usage
10400,133,15-06-2022,7.86,295,4G,Normal Usage
10401,148,10-02-2022,1,88,4G,Normal Usage
10402,277,05-03-2023,8.19,166,4G,Normal Usage
10403,232,10-12-2022,5.79,27,5G,Normal Usage
10404,314,28-02-2023,0.79,237,5G,Normal Usage
10405,415,01-01-2023,4.07,62,4G,Normal Usage
10406,366,30-04-2022,13.57,254,5G,High Usage
10407,228,01-09-2023,0.73,40,4G,Normal Usage
10408,139,19-10-2023,1.44,28,4G,Normal Usage
10409,436,29-12-2023,1.84,278,4G,Normal Usage
10410,399,17-08-2022,0.87,79,4G,Normal Usage
10411,211,04-04-2024,0.04,50,4G,Normal Usage
10412,391,10-05-2022,0.62,111,4G,Normal Usage
10413,499,18-12-2022,0.83,89,4G,Normal Usage
10414,28,07-06-2024,1.47,228,5G,Normal Usage
10415,51,14-11-2022,0.47,149,4G,Normal Usage
10416,491,11-10-2023,5.16,242,4G,Normal Usage
10417,442,15-04-2024,3.05,137,4G,Normal Usage
10418,261,03-12-2022,0.22,134,5G,Normal Usage
10419,261,30-09-2022,2.63,88,5G,Normal Usage
10420,350,27-04-2022,2.65,14,5G,Normal Usage
10421,352,28-03-2024,7.82,173,4G,Normal Usage
10422,8,03-01-2023,0.01,89,4G,Normal Usage
10423,320,04-04-2022,0.71,212,5G,Normal Usage
10424,138,17-06-2022,6.57,60,4G,Normal Usage
10425,38,16-12-2023,6.73,219,4G,Normal Usage
10426,111,07-12-2022,3.19,60,4G,Normal Usage
10427,480,23-10-2023,3.63,165,4G,Normal Usage
10428,368,26-11-2023,0.24,11,4G,Normal Usage
10429,220,01-06-2022,1.8,215,4G,Normal Usage
10430,337,09-08-2023,0.66,76,4G,Normal Usage
10431,223,26-05-2024,0.5,231,4G,Normal Usage
10432,136,01-10-2022,4.16,111,5G,Normal Usage
10433,256,08-07-2023,0.36,65,4G,Normal Usage
10434,360,11-05-2023,1.58,181,4G,Normal Usage
10435,409,25-12-2023,6.97,203,4G,Normal Usage
10436,329,11-04-2022,0.51,205,4G,Normal Usage
10437,450,11-07-2023,9.54,285,4G,Normal Usage
10438,463,23-03-2022,12.91,104,4G,High Usage
10439,434,13-06-2023,2.03,241,4G,Normal Usage
10440,451,14-03-2022,0.47,234,4G,Normal Usage
10441,49,14-01-2022,0.95,175,5G,Normal Usage
10442,292,09-03-2023,1.38,210,4G,Normal Usage
10443,382,06-06-2022,0.93,30,4G,Normal Usage
10444,324,05-01-2024,0.82,234,4G,Normal Usage
10445,78,12-05-2022,8.96,241,5G,Normal Usage
10446,105,04-12-2022,0.42,152,4G,Normal Usage
10447,169,08-02-2023,3.3,195,5G,Normal Usage
10448,217,11-01-2023,0,268,4G,Normal Usage
10449,378,06-06-2024,2.27,169,4G,Normal Usage
10450,119,13-07-2023,6.19,231,4G,Normal Usage
10451,190,17-04-2022,0.85,183,4G,Normal Usage
10452,255,12-09-2023,0.51,274,4G,Normal Usage
10453,370,22-09-2022,2.64,31,4G,Normal Usage
10454,266,24-07-2022,3.12,176,4G,Normal Usage
10455,149,20-03-2022,2.91,64,4G,Normal Usage
10456,164,04-06-2022,0.96,197,4G,Normal Usage
10457,140,22-02-2024,0.73,26,5G,Normal Usage
10458,347,04-09-2022,7.8,150,5G,Normal Usage
10459,488,15-06-2023,6.42,267,4G,Normal Usage
10460,258,07-05-2024,1.53,84,5G,Normal Usage
10461,374,22-06-2023,4.68,65,4G,Normal Usage
10462,269,30-12-2023,1.51,132,4G,Normal Usage
10463,181,03-06-2022,1.38,81,4G,Normal Usage
10464,160,03-06-2022,0.43,97,4G,Normal Usage
10465,351,17-11-2023,1.39,72,4G,Normal Usage
10466,400,02-04-2022,1.93,29,4G,Normal Usage
10467,288,09-03-2023,0.06,124,4G,Normal Usage
10468,288,04-12-2022,1.47,209,4G,Normal Usage
10469,380,25-04-2023,3.8,271,5G,Normal Usage
10470,226,24-11-2023,2.85,212,5G,Normal Usage
10471,11,11-05-2022,2.52,132,4G,Normal Usage
10472,10,26-03-2023,6.01,156,4G,Normal Usage
10473,271,20-03-2024,0.05,46,4G,Normal Usage
10474,273,26-02-2024,2.04,21,4G,Normal Usage
10475,424,30-09-2022,3.87,82,4G,Normal Usage
10476,402,11-08-2023,1.95,233,4G,Normal Usage
10477,183,26-06-2022,0.98,59,4G,Normal Usage
10478,457,27-11-2023,0.37,187,4G,Normal Usage
10479,153,10-04-2024,5.46,57,5G,Normal Usage
10480,488,05-10-2023,1.59,258,5G,Normal Usage
10481,315,24-05-2024,5.26,161,4G,Normal Usage
10482,334,18-02-2022,2.2,1,4G,Normal Usage
10483,124,21-07-2023,2.8,270,5G,Normal Usage
10484,473,28-10-2023,4.08,142,4G,Normal Usage
10485,114,21-12-2022,2.69,187,4G,Normal Usage
10486,278,13-12-2023,1.27,223,4G,Normal Usage
10487,500,04-11-2022,1.8,179,4G,Normal Usage
10488,414,17-05-2024,4.06,22,5G,Normal Usage
10489,468,03-06-2024,1.17,36,4G,Normal Usage
10490,213,22-09-2023,1.23,106,4G,Normal Usage
10491,172,14-02-2024,0.25,296,4G,Normal Usage
10492,288,15-02-2022,6.15,228,4G,Normal Usage
10493,435,29-10-2022,0.24,96,4G,Normal Usage
10494,174,17-05-2024,2.61,280,5G,Normal Usage
10495,113,12-02-2023,1.33,109,4G,Normal Usage
10496,376,08-07-2022,1.3,36,4G,Normal Usage
10497,405,01-04-2024,2.85,39,4G,Normal Usage
