bill_id,customer_id,bill_month,bill_amount,payment_status
30282,43,15-06-2024,1135,Paid
30283,384,18-01-2022,1739,Delayed
30284,156,23-06-2022,1407,Delayed
30285,184,07-02-2023,1938,Paid
30286,47,16-01-2023,1635,Paid
30287,419,28-03-2024,576,Delayed
30288,206,30-04-2022,1234,Paid
30289,210,07-02-2024,1631,Paid
30290,275,06-04-2022,1973,Paid
30291,83,01-04-2024,616,Paid
30292,97,31-01-2022,529,Failed
30293,179,07-04-2022,1181,Paid
30294,355,15-04-2023,478,Paid
30295,148,06-12-2023,1337,Paid
30296,285,15-01-2024,1079,Paid
30297,384,15-02-2022,1432,Paid
30298,72,13-03-2024,645,Paid
30299,217,24-08-2022,1029,Paid
30300,209,15-07-2023,1616,Delayed
30301,321,03-12-2022,1867,Paid
30302,294,05-11-2023,933,Paid
30303,433,12-10-2022,1403,Paid
30304,124,14-05-2022,1687,Paid
30305,350,08-02-2024,1250,Delayed
30306,156,26-11-2023,391,Delayed
30307,33,23-06-2023,1011,Failed
30308,269,14-10-2023,1160,Delayed
30309,216,17-09-2022,1478,Paid
30310,428,18-05-2023,1845,Paid
30311,101,15-08-2023,622,Paid
30312,470,29-06-2022,904,Paid
30313,180,14-06-2024,1858,Paid
30314,127,24-09-2022,289,Paid
30315,333,18-07-2023,846,Paid
30316,488,25-03-2022,993,Paid
30317,460,14-02-2023,939,Paid
30318,377,05-06-2022,343,Paid
30319,169,05-05-2023,650,Paid
30320,305,24-11-2022,1650,Delayed
30321,366,08-09-2023,440,Paid
30322,135,12-12-2022,1708,Delayed
30323,292,07-04-2022,1253,Paid
30324,93,29-09-2023,971,Paid
30325,221,02-07-2022,1282,Paid
30326,410,23-11-2022,1823,Paid
30327,155,20-07-2023,674,Delayed
30328,280,24-03-2024,299,Paid
30329,479,07-11-2023,1008,Paid
30330,199,14-06-2024,989,Paid
30331,337,23-10-2023,831,Paid
30332,241,12-03-2024,1977,Paid
30333,417,13-01-2023,1075,Paid
30334,98,28-03-2022,787,Paid
30335,250,05-11-2023,471,Paid
30336,402,11-11-2023,1080,Paid
30337,105,15-05-2022,1700,Paid
30338,261,31-03-2022,256,Paid
30339,129,03-05-2023,957,Paid
30340,327,30-03-2024,1181,Paid
30341,378,27-03-2024,1143,Paid
30342,482,05-06-2024,1727,Paid
30343,259,16-08-2023,585,Paid
30344,292,12-05-2024,1683,Delayed
30345,419,13-01-2024,1830,Paid
30346,435,30-03-2022,243,Paid
30347,377,20-10-2022,489,Paid
30348,140,22-03-2023,1480,Paid
30349,15,03-02-2023,1013,Failed
30350,388,29-05-2023,1993,Delayed
30351,184,30-01-2023,1468,Paid
30352,481,13-05-2024,438,Delayed
30353,16,04-01-2024,1635,Paid
30354,221,17-01-2022,1350,Delayed
30355,390,09-12-2023,1936,Paid
30356,63,24-09-2023,474,Paid
30357,241,30-08-2022,616,Delayed
30358,485,17-11-2023,405,Paid
30359,279,28-06-2023,1774,Paid
30360,333,26-02-2024,563,Paid
30361,428,08-12-2023,1031,Delayed
30362,257,04-01-2022,1568,Paid
30363,185,08-10-2022,766,Paid
30364,76,17-06-2023,358,Paid
30365,27,16-04-2023,294,Paid
30366,25,26-08-2022,623,Paid
30367,342,28-08-2023,1338,Paid
30368,62,23-04-2023,1434,Paid
30369,482,30-03-2022,797,Paid
30370,146,23-04-2022,1529,Paid
30371,233,03-01-2024,466,Paid
30372,464,02-09-2023,242,Paid
30373,349,22-05-2022,793,Delayed
30374,286,24-10-2023,1210,Paid
30375,414,14-07-2023,1680,Paid
30376,84,20-02-2022,1945,Paid
30377,175,27-07-2022,1694,Paid
30378,406,07-06-2023,207,Delayed
30379,381,23-05-2023,867,Paid
30380,170,27-09-2022,1411,Paid
30381,290,20-09-2022,579,Delayed
30382,447,10-12-2023,1865,Delayed
30383,4,05-07-2022,925,Paid
30384,498,18-03-2024,313,Paid
30385,287,09-08-2022,1724,Paid
30386,307,22-03-2022,1857,Paid
30387,50,04-01-2024,586,Paid
30388,270,13-02-2023,637,Paid
30389,8,09-06-2024,1108,Paid
30390,357,13-11-2023,1043,Paid
30391,69,27-03-2022,1541,Paid
30392,392,10-07-2023,1133,Delayed
30393,139,12-02-2024,1074,Failed
30394,248,14-04-2022,1926,Paid
30395,29,11-10-2022,1666,Paid
30396,183,05-04-2023,1882,Delayed
30397,213,10-01-2024,226,Paid
30398,423,01-12-2023,834,Paid
30399,397,06-04-2023,1620,Paid
30400,320,01-05-2022,275,Paid
30401,305,23-10-2023,785,Paid
30402,19,18-12-2022,1580,Paid
30403,383,27-03-2024,1408,Delayed
30404,451,16-03-2023,1773,Delayed
30405,226,23-07-2023,432,Paid
30406,230,02-05-2024,1470,Paid
30407,339,08-07-2022,1621,Paid
30408,96,18-05-2024,527,Paid
30409,495,04-07-2023,1865,Paid
30410,484,14-12-2023,1227,Delayed
30411,115,17-08-2022,546,Delayed
30412,359,21-01-2023,1621,Paid
30413,180,11-05-2022,1481,Delayed
30414,373,20-06-2022,955,Paid
30415,78,26-11-2022,617,Delayed
30416,327,04-02-2022,589,Failed
30417,276,20-07-2022,788,Delayed
30418,352,17-06-2022,313,Paid
30419,366,24-05-2023,202,Delayed
30420,182,11-06-2024,841,Paid
30421,95,26-05-2023,1961,Paid
30422,86,03-09-2022,1350,Paid
30423,389,12-08-2022,207,Paid
30424,95,07-12-2022,1546,Paid
30425,335,24-07-2023,316,Paid
30426,492,12-03-2024,1689,Delayed
30427,446,21-06-2023,1054,Delayed
30428,145,16-03-2023,898,Paid
30429,248,28-06-2023,1873,Delayed
30430,181,14-09-2023,1685,Delayed
30431,293,05-09-2023,1130,Paid
30432,19,30-05-2022,323,Paid
30433,138,13-06-2024,421,Paid
30434,44,06-05-2024,526,Paid
30435,226,06-12-2023,1215,Paid
30436,433,13-09-2023,1016,Paid
30437,345,22-12-2022,457,Delayed
30438,37,28-02-2024,265,Paid
30439,314,15-01-2024,1819,Paid
30440,220,17-06-2023,1081,Paid
30441,128,08-01-2023,1284,Paid
30442,143,16-02-2023,1170,Paid
30443,404,09-09-2022,1748,Paid
30444,183,14-01-2022,1856,Failed
30445,397,03-08-2022,477,Paid
30446,404,20-06-2023,1345,Paid
30447,43,20-01-2022,787,Paid
30448,479,03-05-2023,470,Paid
30449,210,15-12-2023,700,Delayed
30450,425,12-03-2023,856,Paid
30451,48,17-11-2022,1491,Delayed
30452,312,21-02-2022,1091,Paid
30453,220,23-12-2022,766,Delayed
30454,367,29-11-2023,416,Paid
30455,196,20-12-2023,883,Paid
30456,472,21-05-2024,1774,Paid
30457,172,30-08-2023,357,Paid
30458,237,14-12-2022,558,Paid
30459,457,17-02-2024,1687,Paid
30460,175,22-11-2022,742,Paid
30461,434,11-06-2023,1470,Paid
30462,500,18-11-2023,1863,Paid
30463,32,07-08-2022,489,Paid
30464,224,06-06-2023,234,Paid
30465,54,09-02-2023,1177,Paid
30466,423,19-01-2022,1058,Paid
30467,469,03-08-2023,264,Paid
30468,186,29-02-2024,995,Paid
30469,492,10-04-2024,1649,Paid
30470,234,21-10-2022,355,Paid
30471,317,15-01-2022,1777,Paid
30472,231,22-11-2022,319,Paid
30473,110,18-09-2023,390,Paid
30474,475,22-03-2024,1698,Paid
30475,367,07-06-2022,1576,Paid
30476,100,14-04-2022,1765,Delayed
30477,200,02-03-2024,555,Delayed
30478,211,21-08-2023,729,Paid
30479,221,29-08-2023,678,Paid
30480,403,17-11-2023,995,Paid
30481,325,18-06-2024,1295,Paid
30482,150,24-01-2024,1613,Paid
30483,163,13-02-2024,1152,Paid
30484,394,16-03-2024,1298,Paid
30485,143,09-10-2022,386,Paid
30486,258,27-05-2022,1913,Paid
30487,245,29-05-2023,1560,Paid
30488,490,09-03-2022,674,Paid
30489,150,19-05-2023,1528,Paid
30490,112,10-03-2022,1115,Paid
30491,99,13-07-2023,847,Paid
30492,103,16-05-2024,360,Paid
30493,211,17-02-2023,1000,Failed
30494,495,05-03-2022,245,Paid
30495,12,15-08-2023,222,Paid
30496,381,05-02-2024,1558,Delayed
30497,226,25-08-2022,1506,Paid
30498,446,31-01-2023,372,Paid
30499,301,20-04-2024,1529,Paid
30500,442,19-05-2022,1077,Paid
30501,148,15-02-2024,972,Paid
30502,179,12-11-2022,428,Paid
30503,7,28-10-2023,901,Paid
30504,152,27-02-2023,316,Paid
30505,323,12-05-2022,251,Paid
30506,70,14-08-2022,1414,Delayed
30507,353,27-08-2023,1146,Delayed
30508,53,18-04-2023,770,Paid
30509,162,28-04-2022,721,Paid
30510,417,30-09-2023,970,Failed
30511,93,05-06-2024,980,Paid
30512,151,09-01-2024,1363,Paid
30513,58,05-12-2022,853,Paid
30514,196,23-02-2023,311,Paid
30515,325,11-03-2023,1486,Paid
30516,482,28-06-2022,1713,Paid
30517,208,07-04-2023,1566,Paid
30518,424,20-08-2023,1745,Paid
30519,303,07-11-2023,297,Delayed
30520,299,12-01-2024,671,Paid
30521,445,19-12-2023,1245,Paid
30522,426,14-04-2022,437,Paid
30523,62,24-04-2022,819,Paid
30524,195,01-12-2023,1485,Paid
30525,55,28-09-2022,1547,Paid
30526,363,17-07-2023,870,Paid
30527,49,02-11-2022,1954,Paid
30528,106,04-01-2024,1906,Paid
30529,433,15-09-2023,585,Delayed
30530,78,24-02-2022,804,Paid
30531,375,08-06-2023,320,Paid
30532,417,10-03-2023,1522,Paid
30533,284,09-07-2022,1931,Paid
30534,57,24-01-2023,761,Delayed
30535,169,29-10-2023,515,Delayed
30536,376,01-12-2022,218,Paid
30537,376,12-12-2022,740,Delayed
30538,207,22-09-2022,1522,Paid
30539,260,21-05-2024,1692,Paid
30540,276,14-04-2022,1308,Paid
30541,373,06-11-2023,1964,Paid
30542,345,21-05-2022,1891,Paid
30543,163,19-01-2024,603,Delayed
30544,244,10-07-2023,1176,Paid
30545,250,27-08-2022,891,Paid
30546,309,06-03-2023,310,Delayed
30547,39,01-09-2023,1361,Paid
30548,309,08-04-2022,1232,Failed
30549,121,05-06-2024,1513,Paid
30550,86,15-04-2024,577,Paid
30551,99,06-04-2023,1138,Delayed
30552,374,19-07-2023,436,Delayed
30553,246,13-09-2023,842,Paid
30554,495,14-09-2022,528,Paid
30555,348,11-01-2022,383,Paid
30556,394,27-06-2022,1942,Paid
30557,208,28-01-2023,1984,Paid
30558,113,21-10-2022,1647,Paid
30559,471,01-02-2023,1545,Paid
30560,83,24-01-2023,680,Delayed
30561,65,21-06-2023,799,Failed
30562,1,30-09-2023,1580,Paid
30563,437,23-09-2022,560,Paid
30564,174,13-05-2022,1258,Paid
30565,250,05-10-2022,714,Paid
30566,410,08-07-2023,1968,Paid
30567,226,11-04-2022,528,Paid
30568,386,08-02-2023,467,Paid
30569,284,11-10-2022,1292,Paid
30570,84,04-10-2022,1741,Paid
30571,490,19-05-2022,1890,Paid
30572,239,09-08-2022,1153,Paid
30573,411,10-03-2022,576,Paid
30574,28,15-03-2024,491,Delayed
30575,380,26-06-2022,1508,Paid
30576,287,08-01-2023,558,Paid
30577,431,10-12-2023,1808,Paid
30578,391,29-06-2023,722,Paid
30579,328,28-10-2022,1559,Paid
30580,480,16-08-2022,822,Paid
30581,459,10-10-2023,1764,Paid
30582,304,07-01-2023,1258,Paid
30583,282,08-10-2023,1710,Paid
30584,183,03-02-2023,1601,Delayed
30585,345,23-05-2022,542,Paid
30586,135,27-01-2024,1452,Paid
30587,468,17-05-2022,816,Delayed
30588,361,27-07-2023,1984,Paid
30589,57,25-02-2022,773,Paid
30590,115,07-10-2023,595,Paid
30591,186,17-01-2023,619,Paid
30592,478,16-04-2023,1778,Paid
30593,376,27-07-2022,859,Paid
30594,1,30-09-2023,600,Paid
30595,338,27-09-2023,1710,Paid
30596,456,13-01-2024,244,Paid
30597,29,04-02-2022,885,Paid
30598,232,23-09-2022,352,Paid
30599,150,26-08-2023,459,Paid
30600,480,21-01-2022,843,Delayed
30601,424,20-05-2022,485,Paid
30602,190,22-09-2022,1890,Delayed
30603,270,04-02-2023,1043,Paid
30604,248,02-04-2023,1975,Paid
30605,386,30-04-2022,1553,Paid
30606,419,03-01-2024,837,Paid
30607,327,18-01-2023,903,Delayed
30608,195,19-06-2023,1694,Failed
30609,381,08-02-2022,1491,Paid
30610,255,17-01-2024,1856,Paid
30611,79,23-01-2024,1880,Paid
30612,363,02-10-2023,1886,Paid
30613,98,22-01-2022,355,Failed
30614,150,21-07-2023,1890,Failed
30615,274,21-04-2024,812,Paid
30616,302,16-02-2022,627,Paid
30617,338,16-01-2024,1180,Paid
30618,447,23-06-2023,1050,Paid
30619,123,19-01-2023,1474,Delayed
30620,98,27-04-2023,465,Delayed
30621,164,17-02-2022,257,Paid
30622,46,10-11-2023,815,Paid
30623,359,22-02-2024,1781,Failed
30624,239,22-03-2022,1822,Paid
30625,230,22-09-2023,369,Paid
30626,293,14-02-2022,1886,Paid
30627,244,02-10-2022,1910,Paid
30628,18,24-11-2023,1541,Paid
30629,171,07-11-2022,855,Paid
30630,360,20-08-2022,1035,Paid
30631,157,27-03-2022,1222,Paid
30632,204,15-04-2022,1020,Paid
30633,146,25-01-2024,932,Paid
30634,479,26-06-2022,596,Paid
30635,143,16-01-2024,1237,Paid
30636,187,13-08-2023,1167,Paid
30637,488,30-09-2023,660,Delayed
30638,122,08-07-2022,336,Paid
30639,350,01-03-2022,960,Paid
30640,100,08-08-2022,348,Paid
30641,284,11-08-2023,1061,Paid
30642,437,26-08-2023,979,Paid
30643,15,26-04-2022,791,Delayed
30644,384,02-03-2024,1799,Paid
30645,43,15-04-2023,1876,Delayed
30646,289,16-06-2022,498,Failed
30647,386,30-09-2023,1645,Paid
30648,187,21-03-2023,1641,Paid
30649,8,21-08-2022,957,Paid
30650,112,24-04-2022,1083,Paid
30651,33,23-05-2023,1415,Paid
30652,419,04-09-2023,1505,Delayed
30653,402,31-05-2022,1476,Failed
30654,90,07-08-2023,702,Paid
30655,496,05-01-2023,1907,Paid
30656,149,15-12-2022,1535,Paid
30657,448,16-06-2022,1500,Paid
30658,412,13-03-2022,1000,Paid
30659,212,09-05-2024,1016,Paid
30660,116,19-12-2022,508,Paid
30661,173,11-01-2022,1408,Paid
30662,20,20-03-2024,1446,Paid
30663,379,11-01-2024,772,Paid
30664,132,30-09-2023,1644,Paid
30665,292,02-06-2022,794,Delayed
30666,354,11-06-2022,225,Delayed
30667,237,29-02-2024,579,Paid
30668,77,21-01-2023,1542,Paid
30669,223,22-11-2023,329,Paid
30670,436,24-05-2022,837,Paid
30671,126,19-05-2022,1218,Paid
30672,39,25-07-2022,1745,Paid
30673,327,06-04-2022,1502,Failed
30674,209,27-12-2023,483,Paid
30675,106,04-08-2023,1419,Paid
30676,140,22-12-2022,935,Paid
30677,249,16-04-2023,1998,Paid
30678,55,14-11-2022,1497,Paid
30679,118,27-05-2023,1290,Paid
30680,350,19-01-2022,431,Paid
30681,176,17-02-2023,809,Delayed
30682,354,11-02-2023,420,Paid
30683,470,07-04-2024,651,Paid
30684,213,06-02-2023,1858,Delayed
30685,265,12-05-2024,502,Paid
30686,140,11-04-2022,1134,Paid
30687,465,16-08-2023,1836,Paid
30688,464,26-11-2023,1622,Paid
30689,325,18-01-2022,1542,Paid
30690,339,04-06-2022,462,Delayed
30691,441,02-05-2024,563,Paid
30692,284,09-05-2022,1611,Delayed
30693,273,11-11-2022,940,Paid
30694,22,01-01-2023,1857,Paid
30695,419,07-04-2023,1449,Paid
30696,369,10-06-2022,654,Paid
30697,187,23-09-2023,1962,Paid
30698,207,11-01-2023,1887,Delayed
30699,147,28-11-2022,1527,Paid
30700,495,16-11-2023,703,Paid
30701,434,27-10-2023,526,Delayed
30702,154,20-01-2022,1883,Paid
30703,108,30-06-2023,1017,Paid
30704,316,05-04-2024,1743,Paid
30705,300,26-07-2023,1542,Delayed
30706,440,07-04-2023,934,Paid
30707,483,07-06-2022,690,Delayed
30708,299,30-12-2022,659,Paid
30709,151,19-12-2023,1757,Paid
30710,458,28-08-2023,1666,Paid
30711,406,31-12-2023,1665,Paid
30712,175,19-11-2022,1926,Paid
30713,55,30-03-2022,1449,Paid
30714,267,22-06-2022,764,Delayed
30715,311,09-02-2022,1826,Paid
30716,154,22-07-2022,1749,Delayed
30717,385,03-01-2024,1018,Paid
30718,500,13-07-2023,1913,Paid
30719,484,31-08-2022,714,Paid
30720,190,21-05-2023,616,Paid
30721,149,29-03-2022,1323,Paid
30722,8,31-10-2023,606,Delayed
30723,148,05-11-2023,1627,Paid
30724,173,16-06-2023,1352,Paid
30725,81,22-10-2023,1741,Delayed
30726,79,14-12-2023,1918,Paid
30727,469,03-04-2024,1042,Paid
30728,321,31-05-2022,233,Paid
30729,60,10-04-2022,1966,Paid
30730,451,04-09-2022,352,Paid
30731,95,17-09-2023,1624,Paid
30732,312,01-01-2024,1286,Delayed
30733,128,05-05-2024,1981,Paid
30734,122,21-05-2024,1088,Paid
30735,287,21-06-2023,766,Paid
30736,341,11-05-2023,427,Paid
30737,87,16-10-2022,1174,Delayed
30738,382,19-02-2023,1199,Paid
30739,81,07-09-2023,1475,Paid
30740,22,20-03-2022,1710,Paid
30741,252,20-01-2023,1003,Paid
30742,190,14-03-2023,762,Failed
30743,312,12-06-2023,1113,Paid
30744,86,07-12-2022,213,Paid
